mode,format,rows,cols,nnz,workers,total_time,compute_time,comm_time,gflops,speedup,max_error
serial,bin,20000,20000,1000000,1,0.001046,0.001046,0,1.91205,1,0
openmp,bin,20000,20000,1000000,1,0.001381,0.001381,0,1.44823,0.95945,0
openmp,bin,20000,20000,1000000,2,0.001036,0.001036,0,1.9305,0.985521,0
openmp,bin,20000,20000,1000000,4,0.001049,0.001049,0,1.90658,0.981888,0
openmp,bin,20000,20000,1000000,8,0.001035,0.001035,0,1.93237,0.986473,0
mpi,bin,20000,20000,1000000,1,0.005771,0.001078,4.7e-05,0.34656,0.177612,0
mpi,bin,20000,20000,1000000,2,0.007779,0.00061,0.007209,0.257102,0.131379,0
mpi,bin,20000,20000,1000000,4,0.015556,0.000259,0.0152,0.128568,0.0659553,0
mpi,bin,20000,20000,1000000,8,0.016236,0.00026,0.015906,0.123183,0.0635009,0
openmp,bin,10000,10000,400000,1,0.000356,0.000356,0,2.24719,1.00562,0
mpi,bin,10000,10000,400000,1,0.002092,0.000347,8e-06,0.382409,0.17065,0
openmp,bin,14142,14142,800000,2,0.000845,0.000845,0,1.89349,0.942012,0
mpi,bin,14142,14142,800000,2,0.006739,0.000399,0.006231,0.237424,0.119157,0
openmp,bin,20000,20000,1600000,4,0.001829,0.001829,0,1.74959,0.997813,0
mpi,bin,20000,20000,1600000,4,0.013956,0.000462,0.013467,0.229292,0.131556,0
openmp,bin,28284,28284,3200000,8,0.004067,0.004067,0,1.57364,1.00123,0
mpi,bin,28284,28284,3200000,8,0.030628,0.001929,0.029713,0.208959,0.134093,0
